tumorType,metaCondition,condition,conditionCode,context,contextCode,regName,variant,regCode,component,day,cycleTaken,cycleLength,noCycles,branchInfo,regCode,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,EC-D,01,0007,Cyclophosphamide,1,"1,2,3,4",21,,,001.0007.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,EC-D,01,0007,Docetaxel,1,"5,6,7,8",21,,,001.0007.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,EC-T,01,0008,Epirubicin,1,"1,2,3,4",21,,,001.0008.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,EC-T,01,0008,Cyclophosphamide,1,"1,2,3,4",21,,,001.0008.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,EC-T,01,0008,Paclitaxel,1,"5,6,7,8",21,,,001.0008.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,EC-ddT,01,0009,Epirubicin,1,"1,2,3,4",21,,,001.0009.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,EC-ddT,01,0009,Cyclophosphamide,1,"1,2,3,4",21,,,001.0009.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,EC-ddT,01,0009,Paclitaxel,1,"5,6,7,8",14,,,001.0009.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,nab-Paclitaxel-EC,01,0010,"Paclitaxel, nanoparticle albumin-bound (Abraxane)","1,8,15","1,2,3,4",21,,,001.0010.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,nab-Paclitaxel-EC,01,0010,Epirubicin,1,"5,6,7,8",21,,,001.0010.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,nab-Paclitaxel-EC,01,0010,Cyclophosphamide,1,"5,6,7,8",21,,,001.0010.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-AC,01,0011,Paclitaxel,"1,8,15","1,2,3,4",28,,,001.0011.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-AC,01,0011,Doxorubicin,1,"5,6,7,8",21,,,001.0011.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-AC,01,0011,Cyclophosphamide,1,"5,6,7,8",21,,,001.0011.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-EC,01,0012,Paclitaxel,"1,8,15","1,2,3,4",21,,,001.0012.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-EC,01,0012,Doxorubicin,1,"5,6,7,8",21,,,001.0012.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-EC,01,0012,Cyclophosphamide,1,"5,6,7,8",21,,,001.0012.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,ddT-EC,01,0013,Paclitaxel,1,"1,2,3,4",14,,,001.0013.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,ddT-EC,01,0013,Epirubicin,1,"5,6,7,8",21,,,001.0013.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,ddT-EC,01,0013,Cyclophosphamide,1,"5,6,7,8",21,,,001.0013.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,01,0014,Paclitaxel,"1,8,15","1,2,3,4",21,,,001.0014.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,01,0014,Fluorouracil,"1,4","5,6,7,8",21,,,001.0014.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,01,0014,Doxorubicin,1,"5,6,7,8",21,,,001.0014.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,01,0014,Cyclophosphamide,1,"5,6,7,8",21,,,001.0014.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,02,0014,Paclitaxel,"1,8,15","1,2,3,4",28,,,001.0014.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,02,0014,Fluorouracil,"1,4","5,6,7,8",21,,,001.0014.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,02,0014,Doxorubicin,1,"5,6,7,8",21,,,001.0014.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,02,0014,Cyclophosphamide,1,"5,6,7,8",21,,,001.0014.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,03,0014,Paclitaxel,1,"1,2,3,4",21,,,001.0014.03,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,03,0014,Fluorouracil,"1,4","5,6,7,8",21,,,001.0014.03,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,03,0014,Doxorubicin,1,"5,6,7,8",21,,,001.0014.03,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,03,0014,Cyclophosphamide,1,"5,6,7,8",21,,,001.0014.03,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,04,0014,Paclitaxel,"1,8,15","1,2,3,4",21,,Cont. Infusion,001.0014.04,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,04,0014,Fluorouracil,"1,4","5,6,7,8",21,,Cont. Infusion,001.0014.04,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,04,0014,Doxorubicin,"1,2,3,4","5,6,7,8",21,,Cont. Infusion,001.0014.04,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,04,0014,Cyclophosphamide,1,"5,6,7,8",21,,Cont. Infusion,001.0014.04,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,05,0014,Paclitaxel,"1,8,15","1,2,3,4",28,,Cont. Infusion,001.0014.05,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,05,0014,Fluorouracil,"1,4","5,6,7,8",21,,Cont. Infusion,001.0014.05,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,05,0014,Doxorubicin,"1,2,3,4","5,6,7,8",21,,Cont. Infusion,001.0014.05,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,05,0014,Cyclophosphamide,1,"5,6,7,8",21,,Cont. Infusion,001.0014.05,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,06,0014,Paclitaxel,1,"1,2,3,4",21,,Cont. Infusion,001.0014.06,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,06,0014,Fluorouracil,"1,4","5,6,7,8",21,,Cont. Infusion,001.0014.06,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,06,0014,Doxorubicin,"1,2,3,4","5,6,7,8",21,,Cont. Infusion,001.0014.06,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FAC,06,0014,Cyclophosphamide,1,"5,6,7,8",21,,Cont. Infusion,001.0014.06,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FEC,01,0015,Paclitaxel,"1,8,15","1,2,3,4",21,,,001.0015.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FEC,01,0015,Fluorouracil,1,"5,6,7,8",21,,,001.0015.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FEC,01,0015,Doxorubicin,1,"5,6,7,8",21,,,001.0015.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FEC,01,0015,Cyclophosphamide,1,"5,6,7,8",21,,,001.0015.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FEC,02,0015,Paclitaxel,"1,8,15","1,2,3,4",28,,,001.0015.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FEC,02,0015,Fluorouracil,1,"5,6,7,8",21,,,001.0015.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FEC,02,0015,Doxorubicin,1,"5,6,7,8",21,,,001.0015.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,T-FEC,02,0015,Cyclophosphamide,1,"5,6,7,8",21,,,001.0015.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,Capecitabine & Docetaxel (TX),01,0016,Capecitabine,1:14,,21,4,,001.0016.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,Capecitabine & Docetaxel (TX),01,0016,Docetaxel,1,,21,4,,001.0016.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,Cyclophosphamide & Doxorubicin (AC),01,0017,Doxorubicin,1,,21,4,,001.0017.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,Cyclophosphamide & Doxorubicin (AC),01,0017,Cyclophosphamide,1,,21,4,,001.0017.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,Cyclophosphamide & Doxorubicin (AC),02,0017,Doxorubicin,1,,21,6,,001.0017.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,Cyclophosphamide & Doxorubicin (AC),02,0017,Cyclophosphamide,1,,21,6,,001.0017.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,Dose-dense Cyclophosphamide & Doxorubicin (ddAC),01,0018,Doxorubicin,1,,14,4,,001.0018.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,Dose-dense Cyclophosphamide & Doxorubicin (ddAC),01,0018,Cyclophosphamide,1,,14,4,,001.0018.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,DI EC,01,0019,Epirubicin,1,,21,4,,001.0019.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,DI EC,01,0019,Cyclophosphamide,1,,21,4,,001.0019.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,Docetaxel & Epirubicin (DE),01,0020,Docetaxel,1,,21,3,,001.0020.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,Docetaxel & Epirubicin (DE),01,0020,Epirubicin,1,,21,3,,001.0020.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,Docetaxel & Epirubicin (DE),02,0020,Docetaxel,1,,21,6,,001.0020.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,Docetaxel & Epirubicin (DE),02,0020,Epirubicin,1,,21,6,,001.0020.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,EDC,01,0021,Epirubicin,1,,21,6,,001.0021.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,EDC,01,0021,Docetaxel,1,,21,6,,001.0021.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,EDC,01,0021,Capecitabine,1:14,,21,6,,001.0021.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,Epirubicin monotherapy,01,0022,Epirubicin,"1,2",,21,3,,001.0022.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,Epirubicin monotherapy,02,0022,Epirubicin,"1,2",,21,4,,001.0022.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,Epirubicin & Paclitaxel (EP),01,0023,Epirubicin,1,,21,4,,001.0023.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,Epirubicin & Paclitaxel (EP),01,0023,Paclitaxel,1,,21,4,,001.0023.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FAC,01,0024,Fluorouracil,1,,21,4,,001.0024.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FAC,01,0024,Doxorubicin,1,,21,4,,001.0024.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FAC,01,0024,Cyclophosphamide,1,,21,4,,001.0024.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FAC,02,0024,Fluorouracil,1,,21,3,,001.0024.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FAC,02,0024,Doxorubicin,1,,21,3,,001.0024.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FAC,02,0024,Cyclophosphamide,1,,21,3,,001.0024.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FAC,03,0024,Fluorouracil,"1,4",,21,4,,001.0024.03,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FAC,03,0024,Doxorubicin,1,,21,4,,001.0024.03,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FAC,03,0024,Cyclophosphamide,1,,21,4,,001.0024.03,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FAC,04,0024,Fluorouracil,"1,3,5,8",,28,4,,001.0024.04,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FAC,04,0024,Doxorubicin,"1,8",,28,4,,001.0024.04,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FAC,04,0024,Cyclophosphamide,"1,5",,28,4,,001.0024.04,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FAC,05,0024,Fluorouracil,"1,4",,21,4,Cont. Infusion,001.0024.05,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FAC,05,0024,Doxorubicin,"1,2,3,4",,21,4,Cont. Infusion,001.0024.05,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FAC,05,0024,Cyclophosphamide,1,,21,4,Cont. Infusion,001.0024.05,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FEC,01,0025,Fluorouracil,1,,21,3,,001.0025.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FEC,01,0025,Epirubicin,1,,21,3,,001.0025.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FEC,01,0025,Cyclophosphamide,1,,21,3,,001.0025.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FEC,02,0025,Fluorouracil,1,,21,4,,001.0025.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FEC,02,0025,Epirubicin,1,,21,4,,001.0025.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FEC,02,0025,Cyclophosphamide,1,,21,4,,001.0025.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FEC,03,0025,Fluorouracil,"1,8",,28,6,,001.0025.03,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FEC,03,0025,Epirubicin,"1,8",,28,6,,001.0025.03,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,FEC,03,0025,Cyclophosphamide,1:14,,28,6,,001.0025.03,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,iddEPC,01,0026,Epirubicin,1,"1,2,3",14,,,001.0026.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,iddEPC,01,0026,Paclitaxel,1,"4,5,6",14,,,001.0026.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,iddEPC,01,0026,Cyclophosphamide,1,"7,8,9",14,,,001.0026.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,"Paclitaxel monotherapy, dose-dense (q2wk)",01,0027,Paclitaxel,1,,14,4,,001.0027.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,PET,01,0028,Cisplatin,"1,8,15",,21,4,,001.0028.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,PET,01,0028,Epirubicin,"1,8,15",,21,4,,001.0028.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,PET,01,0028,Paclitaxel,"1,8,15",,21,4,,001.0028.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,TAC,01,0029,Docetaxel,1,,21,6,,001.0029.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,TAC,01,0029,Doxorubicin,1,,21,6,,001.0029.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,Neoadjuvant chemotherapy,000,TAC,01,0029,Cyclophosphamide,1,,21,6,,001.0029.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Adjuvant chemotherapy, sequential protocols",000,A-CMF,01,0030,Doxorubicin,1,"1,2,3,4",21,,,001.0030.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Adjuvant chemotherapy, sequential protocols",000,A-CMF,01,0030,Cyclophosphamide,"1,8","5,6,7,8",28,,,001.0030.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Adjuvant chemotherapy, sequential protocols",000,A-CMF,01,0030,Methotrexate,"1,8","5,6,7,8",28,,,001.0030.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Adjuvant chemotherapy, sequential protocols",000,A-CMF,01,0030,Fluorouracil,"1,8","5,6,7,8",28,,,001.0030.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Adjuvant chemotherapy, sequential protocols",000,A-CMF,02,0030,Doxorubicin,1,"1,2,3,4",21,,,001.0030.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Adjuvant chemotherapy, sequential protocols",000,A-CMF,02,0030,Cyclophosphamide,1:14,"5,6,7,8",28,,,001.0030.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Adjuvant chemotherapy, sequential protocols",000,A-CMF,02,0030,Methotrexate,"1,8","5,6,7,8",28,,,001.0030.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Adjuvant chemotherapy, sequential protocols",000,A-CMF,02,0030,Fluorouracil,"1,8","5,6,7,8",28,,,001.0030.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Adjuvant chemotherapy, sequential protocols",000,AC-CMF,01,0031,Doxorubicin,1,"1,2,3,4",21,,,001.0031.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Adjuvant chemotherapy, sequential protocols",000,AC-CMF,01,0031,Cyclophosphamide,1,"1,2,3,4",21,,,001.0031.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Adjuvant chemotherapy, sequential protocols",000,AC-CMF,01,0031,Cyclophosphamide,1:14,"5,6,7",28,,,001.0031.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Adjuvant chemotherapy, sequential protocols",000,AC-CMF,01,0031,Methotrexate,"1,8","5,6,7",28,,,001.0031.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Adjuvant chemotherapy, sequential protocols",000,AC-CMF,01,0031,Fluorouracil,"1,8","5,6,7",28,,,001.0031.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Adjuvant chemotherapy, sequential protocols",000,AC-D,01,0032,Doxorubicin,1,"1,2,3,4",21,,,001.0032.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Adjuvant chemotherapy, sequential protocols",000,AC-D,01,0032,Cyclophosphamide,1,"1,2,3,4",21,,,001.0032.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Adjuvant chemotherapy, sequential protocols",000,AC-D,01,0032,Docetaxel,1,"5,6,7,8",21,,,001.0032.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Adjuvant chemotherapy, sequential protocols",000,AC-D,02,0032,Doxorubicin,1,"1,2,3,4",21,,,001.0032.02,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Adjuvant chemotherapy, sequential protocols",000,AC-D,02,0032,Cyclophosphamide,1,"1,2,3,4",21,,,001.0032.02,,,,,
