"","regCode","study","study_code","regimen","regimen_code","variant","var_code","context","context_code"
"61","89.1925.1.1699","AG-221-C-001 relapsed",89,"Enasidenib monotherapy","1925","normal",1,"Salvage therapy","1699"
"62","169.58097.425.813","AMLSG 09-09|AMLSG 09-09",169,"ICE and ATRA","58097","Regimen variant #1 60 or younger",425,"Induction therapy","813"
"63","169.58097.1379.813","AMLSG 09-09|AMLSG 09-09",169,"ICE and ATRA","58097","Regimen variant #2 older than 60",1379,"Induction therapy","813"
"64","3266.1568.1.1526","Ravindranath et al. 1996",3266,"BuCy","1568","normal",1,"Consolidation after upfront therapy","1526"
"65","462.1603.1.1526","Brochstein et al. 1987",462,"Cyclophosphamide and TBI, then allo HSCT","1603","normal",1,"Consolidation after upfront therapy","1526"
"66","1884.1771.1.1699","I-BFM-SG 2001/01",1884,"FLAG","1771","normal",1,"Salvage therapy","1699"
"67","1884.1774.1.1840","I-BFM-SG 2001/01",1884,"Cytarabine and Thioguanine","1774","normal",1,"Consolidation after salvage therapy","1840"
"68","1884.1105.1.1840","I-BFM-SG 2001/01",1884,"CYVE","1105","normal",1,"Consolidation after salvage therapy","1840"
"69","4148.814.469.813","Yates et al. 1973|CALGB 7421|Omura et al. 1982|CALGB 7721|Vogler et al. 1984|CALGB 7921|Stein et al. 1990|Arlin et al. 1990|CALGB 8321|Wiernik et al. 1992|Vogler et al. 1992|ECOG E3993|GIMEMA GSI 103 AMLE|ECOG E3999|ECOG E1900|AZA-AML-001|CALGB 8321",4148,"7 plus 3d","814","Regimen variant #1 700/135 (CI Ara-C)",469,"Induction therapy","813"
"70","388.814.1196.813","Bishop et al. 1990",388,"7 plus 3d","814","Regimen variant #2 700/150 (CI Ara-C)",1196,"Induction therapy","813"
"71","2502.814.1516.813","Masaoka et al. 1996",2502,"7 plus 3d","814","Regimen variant #3 1120/120 (intermittent Ara-C)",1516,"Induction therapy","813"
"72","563.814.1850.813","CALGB 8321|CALGB 8321|Weick et al. 1996|AML 8B|CALGB 9222|SWOG S9333|HOVON 43 AML/SAKK 30/01|ADcomparison|ACCEDE",563,"7 plus 3d","814","Regimen variant #4 1400/135 (CI Ara-C)",1850,"Induction therapy","813"
"73","2990.814.565.813","OSHO 061|AML2003|CALGB 10201|SWOG S0106|AML2006|CLTR0308-204|SORAML|AML-AZA|AZA-AML-001|CLTR0310-301",2990,"7 plus 3d","814","Regimen variant #1 CI Ara-C (100 mg/m2)",565,"Induction therapy","813"
"74","3011.814.1298.813","PALG AML1/1999|LAM-2001|PALG AML1/2004|ALFA-0701",3011,"7 plus 3d","814","Regimen variant #2 CI Ara-C (200 mg/m2)",1298,"Induction therapy","813"
"75","1084.814.470.813","ECOG E1900|JHOC-J1101",1084,"7 plus 3d","814","Regimen variant #1 700/270",470,"Induction therapy","813"
"76","132.814.889.813","ALFA 9000",132,"7 plus 3d","814","Regimen variant #2 1400/240",889,"Induction therapy","813"
"77","1869.814.1532.813","HOVON 43 AML/SAKK 30/01|ADcomparison|COSAH C-022",1869,"7 plus 3d","814","Regimen variant #3 1400/270",1532,"Induction therapy","813"
"78","130.1093.680.813","ALFA-0701",130,"7 plus 3d and GO","1093","Regimen variant #1 split GO dosing",680,"Induction therapy","813"
"79","3760.1093.1423.813","SWOG S0106",3760,"7 plus 3d and GO","1093","Regimen variant #2 single-day GO",1423,"Induction therapy","813"
"80","2502.1095.513.813","Masaoka et al. 1996",2502,"7 plus 3i","1095","Regimen variant #1 80/12 intermittent Ara-C",513,"Induction therapy","813"
"81","2486.1095.829.813","Mandelli et al. 1991|Vogler et al. 1992|Haas et al. 1993|ECOG E3993|JALSG AML95|JALSG AML97|JALSG AML201",2486,"7 plus 3i","1095","Regimen variant #2 100/12 CI Ara-C",829,"Induction therapy","813"
"82","4080.1095.1490.813","Wiernik et al. 1992",4080,"7 plus 3i","1095","Regimen variant #3 100/13 CI Ara-C",1490,"Induction therapy","813"
"83","1872.1095.1871.813","HOVON/SAKK AML 29|ALFA-9801|HOVON/SAKK AML 42|HOVON-102|COSAH C-022|HOVON/SAKK-132",1872,"7 plus 3i","1095","Regimen variant #4 200/12 CI Ara-C",1871,"Induction therapy","813"
"84","292.1095.2110.813","AZA-AML-001",292,"7 plus 3i","1095","Regimen variant #5 with range",2110,"Induction therapy","813"
"85","342.1153.1.813","BAY43-9006",342,"7 plus 3i and Sorafenib","1153","normal",1,"Induction therapy","813"
"86","297.1166.1.813","B1371003",297,"7 plus 3d and Glasdegib","1166","normal",1,"Induction therapy","813"
"87","222.1174.1.813","Arlin et al. 1990|ECOG E3993",222,"7 plus 3m","1174","normal",1,"Induction therapy","813"
"88","389.1175.452.813","Bishop et al. 1996",389,"ADE (standard-dose Ara-C)","1175","Regimen variant #1 7-3-7 700/150/525",452,"Induction therapy","813"
"89","581.1175.1189.813","CALGB 9720",581,"ADE (standard-dose Ara-C)","1175","Regimen variant #2 7-3-3 700/180/300",1189,"Induction therapy","813"
"90","538.1175.1685.813","CALGB 19808",538,"ADE (standard-dose Ara-C)","1175","Regimen variant #3 7-3-3 700/270/300",1685,"Induction therapy","813"
"91","1208.1175.1815.813","EORTC-GIMEMA AML-12",1208,"ADE (standard-dose Ara-C)","1175","Regimen variant #4 10-3-5 1000/150/250 CI Ara-C",1815,"Induction therapy","813"
"92","1207.1175.2008.813","EORTC-GIMEMA AML-10",1207,"ADE (standard-dose Ara-C)","1175","Regimen variant #5 10-3-5 1025/150/500 CI Ara-C",2008,"Induction therapy","813"
"93","3965.1175.2161.813","UK MRC AML10|UK MRC AML15|UK MRC AML10|UK MRC AML15",3965,"ADE (standard-dose Ara-C)","1175","Regimen variant #6 8-3-5 1600/150/500 intermittent Ara-C",2161,"Induction therapy","813"
"94","3964.1175.2185.813","UK MRC AML10|UK MRC AML15|UK MRC AML10|UK MRC AML12|UK MRC AML15",3964,"ADE (standard-dose Ara-C)","1175","Regimen variant #7 10-3-5 2000/150/500 intermittent Ara-C",2185,"Induction therapy","813"
"95","1208.1245.594.813","EORTC-GIMEMA AML-12",1208,"ADE (high-dose Ara-C)","1245","Regimen variant #1 HIDAC-3-5",594,"Induction therapy","813"
"96","389.1245.1325.813","Bishop et al. 1996",389,"ADE (high-dose Ara-C)","1245","Regimen variant #2 HIDAC-3-7",1325,"Induction therapy","813"
"97","143.1294.1.813","ALLG M7|CRIANT|Schlenk et al. 2004|Russo et al. 2005|NILG AML 02/06",143,"AIE","1294","normal",1,"Induction therapy","813"
"98","2572.1246.158.813","MDACC 2010-0788",2572,"CIA","1246","Regimen variant #1 15/10/1000",158,"Induction therapy","813"
"99","2767.1246.945.813","Nazha et al. 2013",2767,"CIA","1246","Regimen variant #2 20/10/1000",945,"Induction therapy","813"
"100","3968.1276.376.813","UK MRC AML15|UK NCRI AML16",3968,"DA 3  plus  10","1276","Regimen variant #1 50 mg/m2 dauno",376,"Induction therapy","813"
"101","3976.1276.1162.813","UK NCRI AML17",3976,"DA 3  plus  10","1276","Regimen variant #2 60 mg/m2 dauno",1162,"Induction therapy","813"
"102","3968.1259.1.813","UK MRC AML15|UK NCRI AML16",3968,"DA 3  plus  10, GO","1259","normal",1,"Induction therapy","813"
"103","3012.1284.1.813","PALG AML1/1999|PALG AML1/2004",3012,"DAC","1284","normal",1,"Induction therapy","813"
"104","3967.1285.1.813","UK MRC AML15",3967,"FLAG-Ida","1285","normal",1,"Induction therapy","813"
"105","2118.1286.1.813","Jin et al. 2013",2118,"HAA","1286","normal",1,"Induction therapy","813"
"106","2312.1335.1.813","LAM-SA 2007",2312,"ICL","1335","normal",1,"Induction therapy","813"
"107","1260.1344.1.813","EORTC/GIMEMA AML-13|EORTC/GIMEMA AML-17",1260,"MEC","1344","normal",1,"Induction therapy","813"
"108","3976.32008.1.813","UK NCRI AML17",3976,"DA 3 plus 8","32008","normal",1,"Induction therapy","813"
"109","3976.32029.1.813","UK NCRI AML17",3976,"DA 3 plus 8 and GO","32029","normal",1,"Induction therapy","813"
"110","296.1358.1.1357","AZA PH GL 2003|AZA-AML-001|FLUGAZA|VIALE-A",296,"Azacitidine monotherapy","1358","normal",1,"Non-curative first-line induction therapy","1357"
"111","2462.1365.1.1357","M14-358|VIALE-A",2462,"Azacitidine and Venetoclax","1365","normal",1,"Non-curative first-line induction therapy","1357"
"112","2760.1377.1.1357","Nand et al. 2008|SWOG S0703",2760,"Azacitidine and Gemtuzumab ozogamicin","1377","normal",1,"Non-curative first-line induction therapy","1357"
"113","3974.1422.204.1357","UK NCRI AML16",3974,"Clofarabine monotherapy","1422","Regimen variant #1 20 mg/m2",204,"Non-curative first-line induction therapy","1357"
"114","4005.1422.1008.1357","UWCM-001|MDACC 2004-0183|BIOV-121",4005,"Clofarabine monotherapy","1422","Regimen variant #2 30 mg/m2",1008,"Non-curative first-line induction therapy","1357"
"115","2546.1435.48.1357","MDACC 2004-0183",2546,"Clofarabine and LoDAC","1435","Regimen variant #1",48,"Non-curative first-line induction therapy","1357"
"116","1330.1435.778.1357","Faderl et al. 2010",1330,"Clofarabine and LoDAC","1435","Regimen variant #2",778,"Non-curative first-line induction therapy","1357"
"117","762.1449.1.1357","CLTR0308-204|CLTR0310-301",762,"CPX-351 monotherapy","1449","normal",1,"Non-curative first-line induction therapy","1357"
"118","2023.1437.178.1357","Issa et al. 2014",2023,"Decitabine monotherapy","1437","Regimen variant #1 2",178,"Non-curative first-line induction therapy","1357"
"119","914.1437.919.1357","DACO-016|SEAMLESS|JNJ AML2002",914,"Decitabine monotherapy","1437","Regimen variant #2 2",919,"Non-curative first-line induction therapy","1357"
"120","2995.1437.1466.1357","OSU 07017|Wash U 201210102",2995,"Decitabine monotherapy","1437","Regimen variant #3",1466,"Non-curative first-line induction therapy","1357"
"121","2461.1475.352.1357","M14-358",2461,"Decitabine and Venetoclax","1475","Regimen variant #1 5 days of decitabine",352,"Non-curative first-line induction therapy","1357"
"122","940.1475.813.1357","DEC10-VEN",940,"Decitabine and Venetoclax","1475","Regimen variant #2 10 days of decitabine",813,"Non-curative first-line induction therapy","1357"
"123","1261.1477.1.1357","EORTC/GIMEMA AML-19",1261,"Gemtuzumab ozogamicin monotherapy","1477","normal",1,"Non-curative first-line induction therapy","1357"
"124","456.1478.1.1357","BRIGHT AML 1003",456,"Glasdegib and LoDAC","1478","normal",1,"Non-curative first-line induction therapy","1357"
"125","3654.1485.201.1357","SPARK-AML1|BI 1230.4|BRIGHT AML 1003",3654,"Low-dose Cytarabine monotherapy (LoDAC)","1485","Regimen variant #1 20 mg twice per day indefinite duration",201,"Non-curative first-line induction therapy","1357"
"126","3975.1485.941.1357","UK NCRI AML16|SG033-0003|Burnett et al. 2015|AZA-AML-001|UK NCRI LI-1",3975,"Low-dose Cytarabine monotherapy (LoDAC)","1485","Regimen variant #2 20 mg/m2 twice per day limited duration",941,"Non-curative first-line induction therapy","1357"
"127","915.1485.1557.1357","DACO-016|VIALE-C",915,"Low-dose Cytarabine monotherapy (LoDAC)","1485","Regimen variant #3 20 mg/m2 once per day 10 out of 28 days indefinite duration",1557,"Non-curative first-line induction therapy","1357"
"128","295.1485.1865.1357","AZA PH GL 2003",295,"Low-dose Cytarabine monotherapy (LoDAC)","1485","Regimen variant #4 20 mg/m2 once per day 14 out of 28 days indefinite duration",1865,"Non-curative first-line induction therapy","1357"
"129","2463.1517.1.1357","M14-387|VIALE-C",2463,"LoDAC and Venetoclax","1517","normal",1,"Non-curative first-line induction therapy","1357"
"130","442.1519.1.1357","Brandwein et al. 2014",442,"Temozolomide monotherapy","1519","normal",1,"Non-curative first-line induction therapy","1357"
"131","763.1002.1.1526","CLTR0310-301",763,"5 plus 2d","1002","normal",1,"Consolidation after upfront therapy","1526"
"132","3013.839.218.1526","PALG AML1/2004",3013,"High-dose Cytarabine monotherapy (HiDAC)","839","Regimen variant #1 2000 mg/m2 every 12 hours x 6",218,"Consolidation after upfront therapy","1526"
"133","1454.839.923.1526","Fukushima et al. 2012",1454,"High-dose Cytarabine monotherapy (HiDAC)","839","Regimen variant #2 2 cycles of 2000 mg/m2 every 12 hours x 10",923,"Consolidation after upfront therapy","1526"
"134","627.839.1477.1526","Cassileth et al. 1998",627,"High-dose Cytarabine monotherapy (HiDAC)","839","Regimen variant #3 1 cycle of 3000 mg/m2 every 12 hours x 12",1477,"Consolidation after upfront therapy","1526"
"135","575.839.1883.1526","CALGB 9222|AML2003|SWOG S0106|ACCEDE|SORAML|COSAH C-022|COSAH C-022",575,"High-dose Cytarabine monotherapy (HiDAC)","839","Regimen variant #4 3 cycles of 3000 mg/m2 every 12 hours x 6",1883,"Consolidation after upfront therapy","1526"
"136","2049.839.2046.1526","JALSG AML201",2049,"High-dose Cytarabine monotherapy (HiDAC)","839","Regimen variant #5 3 cycles of 2000 mg/m2 every 12 hours x 10",2046,"Consolidation after upfront therapy","1526"
"137","853.839.2142.1526","COSAH C-022|CALGB 8525|ALFA-9802|COSAH C-022",853,"High-dose Cytarabine monotherapy (HiDAC)","839","Regimen variant #6 4 cycles of 3000 mg/m2 every 12 hours x 6",2142,"Consolidation after upfront therapy","1526"
"138","51.840.121.1526","ACCEDE",51,"Intermediate-dose Cytarabine monotherapy (IDAC)","840","Regimen variant #1 1000 mg/m2 x 3",121,"Consolidation after upfront therapy","1526"
"139","1454.840.844.1526","Fukushima et al. 2012",1454,"Intermediate-dose Cytarabine monotherapy (IDAC)","840","Regimen variant #2 1000 mg/m2 x 10",844,"Consolidation after upfront therapy","1526"
"140","1868.840.1503.1526","HOVON 43 AML/SAKK 30/01",1868,"Intermediate-dose Cytarabine monotherapy (IDAC)","840","Regimen variant #3 1000 mg/m2 x 12",1503,"Consolidation after upfront therapy","1526"
"141","131.1561.1.1526","ALFA-0702",131,"HiDAC and G-CSF","1561","normal",1,"Consolidation after upfront therapy","1526"
"142","3774.1358.1.1526","SWOG S0703",3774,"Azacitidine monotherapy","1358","normal",1,"Consolidation after upfront therapy","1526"
"143","3774.1377.1.1526","SWOG S0703",3774,"Azacitidine and Gemtuzumab ozogamicin","1377","normal",1,"Consolidation after upfront therapy","1526"
"144","1866.1568.1.1526","HOVON-SAKK AML-29/AML-42",1866,"BuCy","1568","normal",1,"Consolidation after upfront therapy","1526"
"145","532.1584.1.1526","CALGB 100103|SWOG S0703",532,"BuFlu, then allo HSCT","1584","normal",1,"Consolidation after upfront therapy","1526"
"146","2767.1246.1.1526","Nazha et al. 2013",2767,"CIA","1246","normal",1,"Consolidation after upfront therapy","1526"
"147","131.1595.1.1526","ALFA-0702",131,"CLARA","1595","normal",1,"Consolidation after upfront therapy","1526"
"148","1330.1438.1.1526","Faderl et al. 2010",1330,"Clofarabine and LoDAC/Decitabine","1438","normal",1,"Consolidation after upfront therapy","1526"
"149","763.1449.1.1526","CLTR0310-301",763,"CPX-351 monotherapy","1449","normal",1,"Consolidation after upfront therapy","1526"
"150","130.1005.250.1526","ALFA-0701",130,"Cytarabine and Daunorubicin","1005","Regimen variant #1 3",250,"Consolidation after upfront therapy","1526"
"151","133.1005.990.1526","ALFA 9803",133,"Cytarabine and Daunorubicin","1005","Regimen variant #2 3",990,"Consolidation after upfront therapy","1526"
"152","130.1094.1.1526","ALFA-0701",130,"Cytarabine, Daunorubicin, Gemtuzumab ozogamicin","1094","normal",1,"Consolidation after upfront therapy","1526"
"153","852.1105.1.1526","COSAH C-022",852,"CYVE","1105","normal",1,"Consolidation after upfront therapy","1526"
"154","133.1104.1.1526","ALFA 9803",133,"Cytarabine and Idarubicin","1104","normal",1,"Consolidation after upfront therapy","1526"
"155","342.1155.1.1526","BAY43-9006",342,"Cytarabine, Idarubicin, Sorafenib","1155","normal",1,"Consolidation after upfront therapy","1526"
"156","403.1603.1.1526","Blume et al. 1980|Zittoun et al. 1995|9005-2003",403,"Cyclophosphamide and TBI, then allo HSCT","1603","normal",1,"Consolidation after upfront therapy","1526"
"157","170.1630.259.1526","AMLSG31-19",170,"Etoposide and Mitoxantrone","1630","Regimen variant #1 3 days",259,"Consolidation after upfront therapy","1526"
"158","1866.1630.1089.1526","HOVON-SAKK AML-29/AML-42",1866,"Etoposide and Mitoxantrone","1630","Regimen variant #2 5 days",1089,"Consolidation after upfront therapy","1526"
"159","20.1631.302.1526","9005-2003",20,"Fludarabine and TBI, then allo HSCT","1631","Regimen variant #1 4",302,"Consolidation after upfront therapy","1526"
"160","1744.1631.1358.1526","Gyukocza et al. 2010",1744,"Fludarabine and TBI, then allo HSCT","1631","Regimen variant #2 low-dose TBI",1358,"Consolidation after upfront therapy","1526"
"161","530.1639.1.1526","CALGB 100103",530,"Fludarabine, Busulfan, ATG, then allo HSCT","1639","normal",1,"Consolidation after upfront therapy","1526"
"162","4082.1004.1.1526","Wierzbowksa et al. 2007|PALG AML1/2004",4082,"HAM","1004","normal",1,"Consolidation after upfront therapy","1526"
"163","1629.1337.1.1526","GOELAMS LAM-SA2002",1629,"IC and Norethandrolone/6-MP, MTX, Norethandrolone","1337","normal",1,"Consolidation after upfront therapy","1526"
"164","1744.1655.1.1526","Gyukocza et al. 2010",1744,"Low-dose TBI, then allo HSCT","1655","normal",1,"Consolidation after upfront therapy","1526"
"165","1874.1358.134.1656","HOVON97",1874,"Azacitidine monotherapy","1358","Regimen variant #1 12 cycles",134,"Non-curative first-line maintenance therapy","1656"
"166","1724.1358.1333.1656","Groevdal et al. 2010",1724,"Azacitidine monotherapy","1358","Regimen variant #2 indefinite",1333,"Non-curative first-line maintenance therapy","1656"
"167","2994.1437.1.1656","OSU 07017",2994,"Decitabine monotherapy","1437","normal",1,"Non-curative first-line maintenance therapy","1656"
"168","3224.13673.1.1656","QUAZAR AML-001",3224,"Azacitidine oral monotherapy","13673","normal",1,"Non-curative first-line maintenance therapy","1656"
"169","1261.1477.1.1656","EORTC/GIMEMA AML-19",1261,"Gemtuzumab ozogamicin monotherapy","1477","normal",1,"Non-curative first-line maintenance therapy","1656"
"170","1125.1485.1.1656","ECOG E5483",1125,"Low-dose Cytarabine monotherapy (LoDAC)","1485","normal",1,"Non-curative first-line maintenance therapy","1656"
"171","342.1602.1.1656","BAY43-9006",342,"Sorafenib monotherapy","1602","normal",1,"Non-curative first-line maintenance therapy","1656"
"172","2115.1002.1.1699","JHOC-J1101",2115,"5 plus 2d","1002","normal",1,"Salvage therapy","1699"
"173","2698.1175.1.1699","MRC AML-HR",2698,"ADE (standard-dose Ara-C)","1175","normal",1,"Salvage therapy","1699"
"174","3351.1003.1.1699","Robak et al. 2000",3351,"CLAG","1003","normal",1,"Salvage therapy","1699"
"175","4081.1641.1.1699","Wierzbowksa et al. 2007",4081,"CLAG-M","1641","normal",1,"Salvage therapy","1699"
"176","4004.1595.1.1699","UW 6562",4004,"CLARA","1595","normal",1,"Salvage therapy","1699"
"177","1371.1719.210.1699","FHCRC 2302.00|FHCRC 2302.00",1371,"Clofarabine and Cytarabine","1719","Regimen variant #1 20/20 variant 1",210,"Salvage therapy","1699"
"178","1371.1719.947.1699","FHCRC 2302.00|FHCRC 2302.00",1371,"Clofarabine and Cytarabine","1719","Regimen variant #2 20/20 variant 2",947,"Salvage therapy","1699"
"179","454.1719.1597.1699","BRIDGE",454,"Clofarabine and Cytarabine","1719","Regimen variant #3 30/1000",1597,"Salvage therapy","1699"
"180","1328.1719.1900.1699","Faderl et al. 2004|Baylor 004-145|CLASSIC I",1328,"Clofarabine and Cytarabine","1719","Regimen variant #4 40/1000",1900,"Salvage therapy","1699"
"181","1828.1630.1.1699","Ho et al. 1988",1828,"Etoposide and Mitoxantrone","1630","normal",1,"Salvage therapy","1699"
"182","2682.1771.1.1699","Montillo et al. 1998",2682,"FLAG","1771","normal",1,"Salvage therapy","1699"
"183","3044.1285.1.1699","Parker et al. 1997|Pastore et al. 2003",3044,"FLAG-Ida","1285","normal",1,"Salvage therapy","1699"
