"","conditionCode","contextCode","regCode","variant","regCodeExt","regString","shortString"
"20",1,126,108,1,"1.126.108.1","15.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;15.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;","15.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;1.Tegafur;0.gimeracil;0.oteracil;"
"21",1,126,109,1,"1.126.109.1","8.Capecitabine;0.Docetaxel;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;8.Capecitabine;0.Docetaxel;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;","8.Capecitabine;0.Docetaxel;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;"
"23",1,126,110,1,"1.126.110.1","14.Epirubicin;0.Vinorelbine;7.Vinorelbine;14.Epirubicin;0.Vinorelbine;7.Vinorelbine;","14.Epirubicin;0.Vinorelbine;7.Vinorelbine;"
"25",1,126,75,1,"1.126.75.1","21.Cyclophosphamide;0.Doxorubicin;21.Cyclophosphamide;0.Doxorubicin;","21.Cyclophosphamide;0.Doxorubicin;"
"27",1,126,75,2,"1.126.75.2","28.Cyclophosphamide;0.Doxorubicin;28.Cyclophosphamide;0.Doxorubicin;","28.Cyclophosphamide;0.Doxorubicin;"
"37",1,126,76,1,"1.126.76.1","21.Bevacizumab;0.Cyclophosphamide;0.Doxorubicin;21.Bevacizumab;0.Cyclophosphamide;0.Doxorubicin;","21.Bevacizumab;0.Cyclophosphamide;0.Doxorubicin;"
"43",1,126,77,1,"1.126.77.1","1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;","1.Capecitabine;1.Capecitabine;"
"45",1,126,77,3,"1.126.77.3","8.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;8.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;","8.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;"
"46",1,126,78,1,"1.126.78.1","8.Bevacizumab;0.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;8.Bevacizumab;0.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;","8.Bevacizumab;0.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;"
"48",1,126,79,1,"1.126.79.1","8.Capecitabine;0.Paclitaxel;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;0.Paclitaxel;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;8.Capecitabine;0.Paclitaxel;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;0.Paclitaxel;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;","8.Capecitabine;0.Paclitaxel;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;0.Paclitaxel;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;"
"50",1,126,80,1,"1.126.80.1","7.Capecitabine;0.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;0.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;7.Capecitabine;0.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;0.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;","7.Capecitabine;0.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;0.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;"
"52",1,126,81,1,"1.126.81.1","21.Cyclophosphamide;0.Fluorouracil;0.Methotrexate;21.Cyclophosphamide;0.Fluorouracil;0.Methotrexate;","21.Cyclophosphamide;0.Fluorouracil;0.Methotrexate;"
"55",1,126,81,2,"1.126.81.2","15.Cyclophosphamide;0.Fluorouracil;0.Methotrexate;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;0.Fluorouracil;0.Methotrexate;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;15.Cyclophosphamide;0.Fluorouracil;0.Methotrexate;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;0.Fluorouracil;0.Methotrexate;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;","15.Cyclophosphamide;0.Fluorouracil;0.Methotrexate;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;0.Fluorouracil;0.Methotrexate;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;"
"58",1,126,82,1,"1.126.82.1","14.Docetaxel;7.Docetaxel;7.Docetaxel;14.Docetaxel;7.Docetaxel;7.Docetaxel;","14.Docetaxel;7.Docetaxel;7.Docetaxel;"
"59",1,126,82,2,"1.126.82.2","21.Docetaxel;7.Docetaxel;7.Docetaxel;7.Docetaxel;7.Docetaxel;7.Docetaxel;21.Docetaxel;7.Docetaxel;7.Docetaxel;7.Docetaxel;7.Docetaxel;7.Docetaxel;","21.Docetaxel;7.Docetaxel;7.Docetaxel;7.Docetaxel;7.Docetaxel;7.Docetaxel;"
"61",1,126,82,4,"1.126.82.4","28.Docetaxel;28.Docetaxel;","28.Docetaxel;28.Docetaxel;"
"62",1,126,83,1,"1.126.83.1","21.Bevacizumab;0.Docetaxel;21.Bevacizumab;0.Docetaxel;","21.Bevacizumab;0.Docetaxel;"
"64",1,126,84,1,"1.126.84.1","21.Docetaxel;0.Doxorubicin;21.Docetaxel;0.Doxorubicin;","21.Docetaxel;0.Doxorubicin;"
"68",1,126,85,1,"1.126.85.1","21.Docetaxel;0.Epirubicin;21.Docetaxel;0.Epirubicin;","21.Docetaxel;0.Epirubicin;"
"72",1,126,86,1,"1.126.86.1","14.Doxorubicin;0.Gemcitabine;7.Gemcitabine;14.Doxorubicin;0.Gemcitabine;7.Gemcitabine;","14.Doxorubicin;0.Gemcitabine;7.Gemcitabine;"
"74",1,126,86,2,"1.126.86.2","14.Gemcitabine;7.Doxorubicin;0.Gemcitabine;14.Gemcitabine;7.Doxorubicin;0.Gemcitabine;","14.Gemcitabine;7.Doxorubicin;0.Gemcitabine;"
"76",1,126,87,1,"1.126.87.1","7.Doxorubicin;7.Doxorubicin;","7.Doxorubicin;7.Doxorubicin;"
"77",1,126,87,2,"1.126.87.2","21.Doxorubicin;21.Doxorubicin;","21.Doxorubicin;21.Doxorubicin;"
"79",1,126,88,1,"1.126.88.1","21.Doxorubicin;0.Paclitaxel;21.Doxorubicin;0.Paclitaxel;","21.Doxorubicin;0.Paclitaxel;"
"83",1,126,88,3,"1.126.88.3","20.Doxorubicin;1.Paclitaxel;20.Doxorubicin;1.Paclitaxel;","20.Doxorubicin;1.Paclitaxel;"
"85",1,126,88,4,"1.126.88.4","20.Doxorubicin;0.Paclitaxel;1.Paclitaxel;20.Doxorubicin;0.Paclitaxel;1.Paclitaxel;","20.Doxorubicin;0.Paclitaxel;1.Paclitaxel;"
"87",1,126,89,1,"1.126.89.1","28.Pegylatedliposomaldoxorubicin;28.Pegylatedliposomaldoxorubicin;","28.Pegylatedliposomaldoxorubicin;28.Pegylatedliposomaldoxorubicin;"
"95",1,126,91,1,"1.126.91.1","21.Bevacizumab;0.Cyclophosphamide;0.Epirubicin;21.Bevacizumab;0.Cyclophosphamide;0.Epirubicin;","21.Bevacizumab;0.Cyclophosphamide;0.Epirubicin;"
"98",1,126,92,1,"1.126.92.1","21.Epirubicin;0.Paclitaxel;21.Epirubicin;0.Paclitaxel;","21.Epirubicin;0.Paclitaxel;"
"100",1,126,93,1,"1.126.93.1","14.Epirubicin;7.Epirubicin;7.Epirubicin;14.Epirubicin;7.Epirubicin;7.Epirubicin;","14.Epirubicin;7.Epirubicin;7.Epirubicin;"
"102",1,126,93,3,"1.126.93.3","14.Epirubicin;14.Epirubicin;","14.Epirubicin;14.Epirubicin;"
"105",1,126,94,1,"1.126.94.1","21.Cyclophosphamide;0.Doxorubicin;0.Fluorouracil;21.Cyclophosphamide;0.Doxorubicin;0.Fluorouracil;","21.Cyclophosphamide;0.Doxorubicin;0.Fluorouracil;"
"117",1,126,94,5,"1.126.94.5","14.Cyclophosphamide;0.Doxorubicin;0.Fluorouracil;7.Fluorouracil;14.Cyclophosphamide;0.Doxorubicin;0.Fluorouracil;7.Fluorouracil;","14.Cyclophosphamide;0.Doxorubicin;0.Fluorouracil;7.Fluorouracil;"
"120",1,126,94,6,"1.126.94.6","17.Cyclophosphamide;0.Doxorubicin;0.Fluorouracil;1.Fluorouracil;1.Fluorouracil;1.Fluorouracil;1.Fluorouracil;17.Cyclophosphamide;0.Doxorubicin;0.Fluorouracil;1.Fluorouracil;1.Fluorouracil;1.Fluorouracil;1.Fluorouracil;","17.Cyclophosphamide;0.Doxorubicin;0.Fluorouracil;1.Fluorouracil;1.Fluorouracil;1.Fluorouracil;1.Fluorouracil;"
"123",1,126,94,7,"1.126.94.7","18.Cyclophosphamide;0.Doxorubicin;0.Fluorouracil;3.Fluorouracil;18.Cyclophosphamide;0.Doxorubicin;0.Fluorouracil;3.Fluorouracil;","18.Cyclophosphamide;0.Doxorubicin;0.Fluorouracil;3.Fluorouracil;"
"126",1,126,94,8,"1.126.94.8","15.Cyclophosphamide;0.Doxorubicin;0.Fluorouracil;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;0.Doxorubicin;0.Fluorouracil;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;15.Cyclophosphamide;0.Doxorubicin;0.Fluorouracil;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;0.Doxorubicin;0.Fluorouracil;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;","15.Cyclophosphamide;0.Doxorubicin;0.Fluorouracil;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;0.Doxorubicin;0.Fluorouracil;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;"
"129",1,126,95,1,"1.126.95.1","21.Bevacizumab;0.Cyclophosphamide;0.Doxorubicin;0.Fluorouracil;21.Bevacizumab;0.Cyclophosphamide;0.Doxorubicin;0.Fluorouracil;","21.Bevacizumab;0.Cyclophosphamide;0.Doxorubicin;0.Fluorouracil;"
"133",1,126,96,1,"1.126.96.1","21.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;21.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;","21.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;"
"136",1,126,96,2,"1.126.96.2","28.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;28.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;","28.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;"
"139",1,126,96,3,"1.126.96.3","14.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;7.Fluorouracil;14.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;7.Fluorouracil;","14.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;7.Fluorouracil;"
"142",1,126,96,4,"1.126.96.4","15.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;15.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;","15.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;"
"145",1,126,96,5,"1.126.96.5","21.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;7.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;21.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;7.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;","21.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;7.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;"
"148",1,126,97,1,"1.126.97.1","21.Bevacizumab;0.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;21.Bevacizumab;0.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;","21.Bevacizumab;0.Cyclophosphamide;0.Epirubicin;0.Fluorouracil;"
"153",1,126,99,1,"1.126.99.1","14.Gemcitabine;0.Paclitaxel;7.Gemcitabine;14.Gemcitabine;0.Paclitaxel;7.Gemcitabine;","14.Gemcitabine;0.Paclitaxel;7.Gemcitabine;"
"157",1,129,111,1,"1.129.111.1","21.Bevacizumab;21.Bevacizumab;","21.Bevacizumab;21.Bevacizumab;"
"167",1,132,117,1,"1.132.117.1","8.Capecitabine;0.Ixabepilone;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;8.Capecitabine;0.Ixabepilone;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;","8.Capecitabine;0.Ixabepilone;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;"
"169",1,132,118,1,"1.132.118.1","8.Capecitabine;0.Vinflunine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;8.Capecitabine;0.Vinflunine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;","8.Capecitabine;0.Vinflunine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;1.Capecitabine;"
"171",1,132,119,1,"1.132.119.1","14.Carboplatin;0.Gemcitabine;7.Carboplatin;0.Gemcitabine;14.Carboplatin;0.Gemcitabine;7.Carboplatin;0.Gemcitabine;","14.Carboplatin;0.Gemcitabine;7.Carboplatin;0.Gemcitabine;"
"175",1,132,121,1,"1.132.121.1","1.Cyclophosphamide;0.Methotrexate;1.Cyclophosphamide;0.Methotrexate;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;0.Methotrexate;1.Cyclophosphamide;0.Methotrexate;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;","1.Cyclophosphamide;0.Methotrexate;1.Cyclophosphamide;0.Methotrexate;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;"
"177",1,132,121,2,"1.132.121.2","1.Cyclophosphamide;0.Methotrexate;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;0.Methotrexate;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;0.Methotrexate;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;0.Methotrexate;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;","1.Cyclophosphamide;0.Methotrexate;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;0.Methotrexate;1.Cyclophosphamide;1.Cyclophosphamide;1.Cyclophosphamide;"
