"","regCodeExt","metaCondition","condition","conditionCode","context","contextCode","regName","variant","regCode","component","day","cycleTaken","cycleLength","noCycles","branchInfo","Radio.Therapy.","continuous","noCycles_Original","regString","shortString"
"15","102.59.1523.1","Thoraic Oncology","Non-small cell lung cancer, CNS metastases",102,"EGFR-mutated, all lines of therapy",59,"Cisplatin, Gefitinib, Pemetrexed",1,1523,"Cisplatin","1","",28,3,"","",TRUE,"Cont.","1.Cisplatin;0.Gefitinib;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Cisplatin;0.Gefitinib;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;","1.Cisplatin;0.Gefitinib;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;"
"16","102.59.1523.1","Thoraic Oncology","Non-small cell lung cancer, CNS metastases",102,"EGFR-mutated, all lines of therapy",59,"Cisplatin, Gefitinib, Pemetrexed",1,1523,"Gefitinib","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28","",28,3,"","",TRUE,"Cont.","1.Cisplatin;0.Gefitinib;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Cisplatin;0.Gefitinib;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;","1.Cisplatin;0.Gefitinib;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;"
"17","102.59.1523.1","Thoraic Oncology","Non-small cell lung cancer, CNS metastases",102,"EGFR-mutated, all lines of therapy",59,"Cisplatin, Gefitinib, Pemetrexed",1,1523,"Pemetrexed","1","",28,3,"","",TRUE,"Cont.","1.Cisplatin;0.Gefitinib;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Cisplatin;0.Gefitinib;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;","1.Cisplatin;0.Gefitinib;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;"
"18","102.59.1524.1","Thoraic Oncology","Non-small cell lung cancer, CNS metastases",102,"EGFR-mutated, all lines of therapy",59,"Gefitinib monotherapy",1,1524,"Gefitinib","1, 2, 3, 4, 5, 6, 7","",7,3,"","",TRUE,"Cont.","1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;","1.Gefitinib;1.Gefitinib;"
"19","102.59.1525.1","Thoraic Oncology","Non-small cell lung cancer, CNS metastases",102,"EGFR-mutated, all lines of therapy",59,"Gefitinib, Nedaplatin, Pemetrexed",1,1525,"Gefitinib","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28","",28,3,"","",TRUE,"Cont.","1.Gefitinib;0.Nedaplatin;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;0.Nedaplatin;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;","1.Gefitinib;0.Nedaplatin;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;"
"20","102.59.1525.1","Thoraic Oncology","Non-small cell lung cancer, CNS metastases",102,"EGFR-mutated, all lines of therapy",59,"Gefitinib, Nedaplatin, Pemetrexed",1,1525,"Nedaplatin","1","",28,3,"","",TRUE,"Cont.","1.Gefitinib;0.Nedaplatin;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;0.Nedaplatin;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;","1.Gefitinib;0.Nedaplatin;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;"
"21","102.59.1525.1","Thoraic Oncology","Non-small cell lung cancer, CNS metastases",102,"EGFR-mutated, all lines of therapy",59,"Gefitinib, Nedaplatin, Pemetrexed",1,1525,"Pemetrexed","1","",28,3,"","",TRUE,"Cont.","1.Gefitinib;0.Nedaplatin;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;0.Nedaplatin;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;","1.Gefitinib;0.Nedaplatin;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;"
"22","102.59.1526.1","Thoraic Oncology","Non-small cell lung cancer, CNS metastases",102,"EGFR-mutated, all lines of therapy",59,"Icotinib monotherapy",1,1526,"Icotinib","1, 2, 3, 4, 5, 6, 7","",7,3,"","",TRUE,"Cont.","1.Icotinib;1.Icotinib;1.Icotinib;1.Icotinib;1.Icotinib;1.Icotinib;1.Icotinib;1.Icotinib;1.Icotinib;1.Icotinib;1.Icotinib;1.Icotinib;1.Icotinib;1.Icotinib;","1.Icotinib;1.Icotinib;"
"23","102.59.1527.1","Thoraic Oncology","Non-small cell lung cancer, CNS metastases",102,"EGFR-mutated, all lines of therapy",59,"Osimertinib monotherapy",1,1527,"Osimertinib","1, 2, 3, 4, 5, 6, 7","",7,3,"","",TRUE,"Cont.","1.Osimertinib;1.Osimertinib;1.Osimertinib;1.Osimertinib;1.Osimertinib;1.Osimertinib;1.Osimertinib;1.Osimertinib;1.Osimertinib;1.Osimertinib;1.Osimertinib;1.Osimertinib;1.Osimertinib;1.Osimertinib;","1.Osimertinib;1.Osimertinib;"
"24","103.59.1528.1","Thoraic Oncology","Small cell lung cancer",103,"Limited stage, induction",59,"Carboplatin & Etoposide (CE)",1,1528,"Carboplatin","1","",21,3,"","",TRUE,"Cont.","19.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;19.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;","19.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;"
"25","103.59.1528.1","Thoraic Oncology","Small cell lung cancer",103,"Limited stage, induction",59,"Carboplatin & Etoposide (CE)",1,1528,"Etoposide","1,2,3","",21,3,"","",TRUE,"Cont.","19.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;19.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;","19.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;"
"26","103.59.1529.1","Thoraic Oncology","Small cell lung cancer",103,"Limited stage, induction",59,"Cisplatin & Etoposide (EP)",1,1529,"Cisplatin","1,2,3","",21,3,"","",TRUE,"Cont.","19.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;19.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;","19.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;"
"27","103.59.1529.1","Thoraic Oncology","Small cell lung cancer",103,"Limited stage, induction",59,"Cisplatin & Etoposide (EP)",1,1529,"Etoposide","1,2,3","",21,3,"","",TRUE,"Cont.","19.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;19.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;","19.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;"
"28","103.60.1529.2","Thoraic Oncology","Small cell lung cancer",103,"Limited stage, induction",60,"Cisplatin & Etoposide (EP)",2,1529,"Cisplatin","1,2,3","",28,3,"","",TRUE,"Cont.","26.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;26.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;","26.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;"
"29","103.60.1529.2","Thoraic Oncology","Small cell lung cancer",103,"Limited stage, induction",60,"Cisplatin & Etoposide (EP)",2,1529,"Etoposide","1,2,3","",28,3,"","",TRUE,"Cont.","26.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;26.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;","26.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;"
"30","103.61.1530.1","Thoraic Oncology","Small cell lung cancer",103,"Limited stage, definitive chemoradiotherapy",61,"Carboplatin, Etoposide, RT",1,1530,"Carboplatin","1","",21,3,"","X",TRUE,"Cont.","19.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;19.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;","19.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;"
"31","103.61.1530.1","Thoraic Oncology","Small cell lung cancer",103,"Limited stage, definitive chemoradiotherapy",61,"Carboplatin, Etoposide, RT",1,1530,"Etoposide","1,2,3","",21,3,"","X",TRUE,"Cont.","19.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;19.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;","19.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;"
"32","103.61.1531.1","Thoraic Oncology","Small cell lung cancer",103,"Limited stage, definitive chemoradiotherapy",61,"Cisplatin, Etoposide, RT",1,1531,"Cisplatin","1","",21,3,"","X",TRUE,"Cont.","19.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;19.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;","19.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;"
"33","103.61.1531.1","Thoraic Oncology","Small cell lung cancer",103,"Limited stage, definitive chemoradiotherapy",61,"Cisplatin, Etoposide, RT",1,1531,"Etoposide","1,2,3","",21,3,"","X",TRUE,"Cont.","19.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;19.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;","19.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;"
"34","103.62.1531.2","Thoraic Oncology","Small cell lung cancer",103,"Limited stage, definitive chemoradiotherapy",62,"Cisplatin, Etoposide, RT",2,1531,"Cisplatin","1","",28,3,"","X",TRUE,"Cont.","26.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;26.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;","26.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;"
"35","103.62.1531.2","Thoraic Oncology","Small cell lung cancer",103,"Limited stage, definitive chemoradiotherapy",62,"Cisplatin, Etoposide, RT",2,1531,"Etoposide","1,2,3","",28,3,"","X",TRUE,"Cont.","26.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;26.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;","26.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;"
"36","103.63.1532.1","Thoraic Oncology","Small cell lung cancer",103,"Limited stage, adjuvant therapy",63,"Cisplatin & Etoposide (EP)",1,1532,"Cisplatin","1","",21,3,"","",TRUE,"Cont.","19.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;19.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;","19.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;"
"37","103.63.1532.1","Thoraic Oncology","Small cell lung cancer",103,"Limited stage, adjuvant therapy",63,"Cisplatin & Etoposide (EP)",1,1532,"Etoposide","1,2,3","",21,3,"","",TRUE,"Cont.","19.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;19.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;","19.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;"
"38","103.63.1533.1","Thoraic Oncology","Small cell lung cancer",103,"Limited stage, consolidation after upfront therapy",63,"Cisplatin & Irinotecan (IC)",1,1533,"Cisplatin","1","",28,3,"","",TRUE,"Cont.","14.Cisplatin;0.Irinotecan;7.Irinotecan;7.Irinotecan;14.Cisplatin;0.Irinotecan;7.Irinotecan;7.Irinotecan;","14.Cisplatin;0.Irinotecan;7.Irinotecan;7.Irinotecan;"
